,Requirement
541,98 user workstations shall meet minimum software requirements prior implementation
542,RFS system able easily interface BDW environment order load data 7 data files shall received BDW loaded RFS system within 3 hours one day prior start budgeting process every year data October month-end Test files 7 shall loaded 5 times throughout year BDW
543,Changes revenue expense formulae must applied RFS system every year prior budgeting process start Revenue expense formulae updated within one week receipt 2 weeks allotted testing budget calculations conducted jointly project development team PCG Finance
544,New branches/complexes/districts/regions revenue/expense accounts added BDW must reflected RFS system 100 entities mentioned available October month-end loaded RFS system prior budget start process
545,authorized user shall access RFS system users exist UAS system RFS system assigned role shall access RFS system use
546,User access limited permissions granted role level PCG hierarchy assigned role users assigned roles Access functionality within RFS system dependent privileges/permission assigned role ..
547,product must comply intranet page standards requirements ENET Securities 95 product look feel approved Architecture group prior implementation remaining 5 corrected approved within one month product release
548,intranet pages display appropriately resolutions 800x600 higher display pages correct 95 resolutions prior implementation remaining 5 corrected within week notification incorrect display
549,users able easily use system successfully complete budgets within stipulated time completion week training prior product implementation 98 users shall complete budgets within stipulated time
550,product interface fast response time product interface exceed 2 seconds 90 time 10 time response time 10 seconds.not 10 seconds
551,system use stored e-mail addresses primary means communicating information affected parties
552,system notify affected parties routine communication purposes including limited informing students upcoming offered classes timeline schedule be/shall
553,system notify affected parties changes occur affecting clinicals including limited clinical section capacity changes clinical section cancellations
554,system notify affected parties changes occur affecting classes including limited class cancellations class section detail changes changes class offerings given quarter
